,Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
500,IDCJAC0009,70351,2009,5,15,0.0,,Y
501,IDCJAC0009,70351,2009,5,16,1.6,1.0,Y
502,IDCJAC0009,70351,2009,5,17,0.0,,Y
503,IDCJAC0009,70351,2009,5,18,0.0,,Y
504,IDCJAC0009,70351,2009,5,19,0.0,,Y
505,IDCJAC0009,70351,2009,5,20,0.0,,Y
506,IDCJAC0009,70351,2009,5,21,0.0,,Y
507,IDCJAC0009,70351,2009,5,22,0.4,1.0,Y
508,IDCJAC0009,70351,2009,5,23,0.4,1.0,Y
509,IDCJAC0009,70351,2009,5,24,0.0,,Y
510,IDCJAC0009,70351,2009,5,25,0.0,,Y
511,IDCJAC0009,70351,2009,5,26,0.0,,Y
512,IDCJAC0009,70351,2009,5,27,0.0,,Y
513,IDCJAC0009,70351,2009,5,28,0.0,,Y
514,IDCJAC0009,70351,2009,5,29,0.0,,Y
515,IDCJAC0009,70351,2009,5,30,0.0,,Y
516,IDCJAC0009,70351,2009,5,31,0.2,1.0,Y
517,IDCJAC0009,70351,2009,6,1,0.8,1.0,Y
518,IDCJAC0009,70351,2009,6,2,0.0,,Y
519,IDCJAC0009,70351,2009,6,3,1.6,1.0,Y
520,IDCJAC0009,70351,2009,6,4,8.0,1.0,Y
521,IDCJAC0009,70351,2009,6,5,2.2,1.0,Y
522,IDCJAC0009,70351,2009,6,6,1.0,1.0,Y
523,IDCJAC0009,70351,2009,6,7,0.8,1.0,Y
524,IDCJAC0009,70351,2009,6,8,1.8,1.0,Y
525,IDCJAC0009,70351,2009,6,9,0.2,1.0,Y
526,IDCJAC0009,70351,2009,6,10,2.0,1.0,Y
527,IDCJAC0009,70351,2009,6,11,0.0,,Y
528,IDCJAC0009,70351,2009,6,12,0.0,,Y
529,IDCJAC0009,70351,2009,6,13,0.0,,Y
530,IDCJAC0009,70351,2009,6,14,0.2,1.0,Y
531,IDCJAC0009,70351,2009,6,15,0.2,1.0,Y
532,IDCJAC0009,70351,2009,6,16,0.0,,Y
533,IDCJAC0009,70351,2009,6,17,0.0,,Y
534,IDCJAC0009,70351,2009,6,18,0.0,,Y
535,IDCJAC0009,70351,2009,6,19,0.0,,Y
536,IDCJAC0009,70351,2009,6,20,0.0,,Y
537,IDCJAC0009,70351,2009,6,21,12.6,1.0,Y
538,IDCJAC0009,70351,2009,6,22,1.0,1.0,Y
539,IDCJAC0009,70351,2009,6,23,0.2,1.0,Y
540,IDCJAC0009,70351,2009,6,24,1.0,1.0,Y
541,IDCJAC0009,70351,2009,6,25,0.2,1.0,Y
542,IDCJAC0009,70351,2009,6,26,0.0,,Y
543,IDCJAC0009,70351,2009,6,27,0.0,,Y
544,IDCJAC0009,70351,2009,6,28,1.2,1.0,Y
