,Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
220,IDCJAC0001,70014,1957,7,61.8,Y
221,IDCJAC0001,70014,1957,8,42.0,Y
222,IDCJAC0001,70014,1957,9,8.1,Y
223,IDCJAC0001,70014,1957,10,15.0,Y
224,IDCJAC0001,70014,1957,11,23.0,Y
225,IDCJAC0001,70014,1957,12,54.9,Y
226,IDCJAC0001,70014,1958,1,85.1,Y
227,IDCJAC0001,70014,1958,2,25.9,Y
228,IDCJAC0001,70014,1958,3,31.1,Y
229,IDCJAC0001,70014,1958,4,53.6,Y
230,IDCJAC0001,70014,1958,5,34.1,Y
231,IDCJAC0001,70014,1958,6,62.2,Y
232,IDCJAC0001,70014,1958,7,54.0,Y
233,IDCJAC0001,70014,1958,8,59.7,Y
234,IDCJAC0001,70014,1958,9,50.5,Y
235,IDCJAC0001,70014,1958,10,60.2,Y
236,IDCJAC0001,70014,1958,11,33.8,Y
237,IDCJAC0001,70014,1958,12,62.9,Y
238,IDCJAC0001,70014,1959,1,66.3,Y
239,IDCJAC0001,70014,1959,2,106.3,Y
240,IDCJAC0001,70014,1959,3,116.5,Y
241,IDCJAC0001,70014,1959,4,101.5,Y
242,IDCJAC0001,70014,1959,5,14.4,Y
243,IDCJAC0001,70014,1959,6,103.3,Y
244,IDCJAC0001,70014,1959,7,34.7,Y
245,IDCJAC0001,70014,1959,8,11.6,Y
246,IDCJAC0001,70014,1959,9,34.3,Y
247,IDCJAC0001,70014,1959,10,147.7,Y
248,IDCJAC0001,70014,1959,11,122.0,Y
249,IDCJAC0001,70014,1959,12,33.9,Y
250,IDCJAC0001,70014,1960,1,113.2,Y
251,IDCJAC0001,70014,1960,2,15.0,Y
252,IDCJAC0001,70014,1960,3,43.2,Y
253,IDCJAC0001,70014,1960,4,19.9,Y
254,IDCJAC0001,70014,1960,5,75.1,Y
255,IDCJAC0001,70014,1960,6,8.3,Y
256,IDCJAC0001,70014,1960,7,103.6,Y
257,IDCJAC0001,70014,1960,8,25.5,Y
258,IDCJAC0001,70014,1960,9,96.0,Y
259,IDCJAC0001,70014,1960,10,85.4,Y
260,IDCJAC0001,70014,1960,11,68.1,Y
261,IDCJAC0001,70014,1960,12,160.3,Y
262,IDCJAC0001,70014,1961,1,43.0,Y
263,IDCJAC0001,70014,1961,2,67.7,Y
264,IDCJAC0001,70014,1961,3,128.4,Y
265,IDCJAC0001,70014,1961,4,51.0,Y
266,IDCJAC0001,70014,1961,5,1.6,Y
267,IDCJAC0001,70014,1961,6,25.2,Y
268,IDCJAC0001,70014,1961,7,71.4,Y
269,IDCJAC0001,70014,1961,8,34.8,Y
270,IDCJAC0001,70014,1961,9,28.5,Y
271,IDCJAC0001,70014,1961,10,36.2,Y
272,IDCJAC0001,70014,1961,11,134.9,Y
273,IDCJAC0001,70014,1961,12,151.5,Y
274,IDCJAC0001,70014,1962,1,108.0,Y
275,IDCJAC0001,70014,1962,2,47.7,Y
276,IDCJAC0001,70014,1962,3,24.0,Y
277,IDCJAC0001,70014,1962,4,19.3,Y
278,IDCJAC0001,70014,1962,5,53.3,Y
279,IDCJAC0001,70014,1962,6,8.8,Y
280,IDCJAC0001,70014,1962,7,32.8,Y
281,IDCJAC0001,70014,1962,8,55.1,Y
282,IDCJAC0001,70014,1962,9,113.7,Y
283,IDCJAC0001,70014,1962,10,45.3,Y
284,IDCJAC0001,70014,1962,11,35.6,Y
285,IDCJAC0001,70014,1962,12,110.4,Y
286,IDCJAC0001,70014,1963,1,88.3,Y
287,IDCJAC0001,70014,1963,2,43.8,Y
288,IDCJAC0001,70014,1963,3,56.4,Y
289,IDCJAC0001,70014,1963,4,65.0,Y
290,IDCJAC0001,70014,1963,5,77.0,Y
291,IDCJAC0001,70014,1963,6,34.3,Y
292,IDCJAC0001,70014,1963,7,37.9,Y
293,IDCJAC0001,70014,1963,8,34.5,Y
294,IDCJAC0001,70014,1963,9,52.8,Y
295,IDCJAC0001,70014,1963,10,24.1,Y
296,IDCJAC0001,70014,1963,11,41.0,Y
297,IDCJAC0001,70014,1963,12,64.0,Y
298,IDCJAC0001,70014,1964,1,25.5,Y
299,IDCJAC0001,70014,1964,2,21.6,Y
300,IDCJAC0001,70014,1964,3,24.6,Y
301,IDCJAC0001,70014,1964,4,123.6,Y
302,IDCJAC0001,70014,1964,5,36.1,Y
303,IDCJAC0001,70014,1964,6,23.6,Y
304,IDCJAC0001,70014,1964,7,85.7,Y
305,IDCJAC0001,70014,1964,8,41.7,Y
306,IDCJAC0001,70014,1964,9,71.6,Y
307,IDCJAC0001,70014,1964,10,122.4,Y
308,IDCJAC0001,70014,1964,11,21.7,Y
309,IDCJAC0001,70014,1964,12,45.0,Y
310,IDCJAC0001,70014,1965,1,1.3,Y
311,IDCJAC0001,70014,1965,2,1.5,Y
312,IDCJAC0001,70014,1965,3,1.7,Y
313,IDCJAC0001,70014,1965,4,10.4,Y
314,IDCJAC0001,70014,1965,5,11.7,Y
315,IDCJAC0001,70014,1965,6,20.4,Y
316,IDCJAC0001,70014,1965,7,15.8,Y
317,IDCJAC0001,70014,1965,8,49.5,Y
318,IDCJAC0001,70014,1965,9,73.4,Y
319,IDCJAC0001,70014,1965,10,137.0,Y
320,IDCJAC0001,70014,1965,11,32.3,Y
321,IDCJAC0001,70014,1965,12,45.3,Y
322,IDCJAC0001,70014,1966,1,49.3,Y
323,IDCJAC0001,70014,1966,2,69.6,Y
324,IDCJAC0001,70014,1966,3,73.5,Y
325,IDCJAC0001,70014,1966,4,3.4,Y
326,IDCJAC0001,70014,1966,5,37.9,Y
327,IDCJAC0001,70014,1966,6,44.1,Y
328,IDCJAC0001,70014,1966,7,28.9,Y
329,IDCJAC0001,70014,1966,8,48.8,Y
330,IDCJAC0001,70014,1966,9,65.7,Y
331,IDCJAC0001,70014,1966,10,89.8,Y
332,IDCJAC0001,70014,1966,11,105.2,Y
333,IDCJAC0001,70014,1966,12,75.9,Y
334,IDCJAC0001,70014,1967,1,56.4,Y
335,IDCJAC0001,70014,1967,2,14.8,Y
336,IDCJAC0001,70014,1967,3,10.2,Y
337,IDCJAC0001,70014,1967,4,8.9,Y
338,IDCJAC0001,70014,1967,5,17.7,Y
339,IDCJAC0001,70014,1967,6,16.4,Y
340,IDCJAC0001,70014,1967,7,12.4,Y
341,IDCJAC0001,70014,1967,8,89.7,Y
342,IDCJAC0001,70014,1967,9,31.5,Y
343,IDCJAC0001,70014,1967,10,49.3,Y
344,IDCJAC0001,70014,1967,11,44.7,Y
345,IDCJAC0001,70014,1967,12,0.0,Y
346,IDCJAC0001,70014,1968,1,38.4,Y
347,IDCJAC0001,70014,1968,2,0.0,Y
348,IDCJAC0001,70014,1968,3,32.1,Y
349,IDCJAC0001,70014,1968,4,38.7,Y
350,IDCJAC0001,70014,1968,5,134.2,Y
351,IDCJAC0001,70014,1968,6,22.5,Y
352,IDCJAC0001,70014,1968,7,22.4,Y
353,IDCJAC0001,70014,1968,8,58.3,Y
354,IDCJAC0001,70014,1968,9,12.4,Y
